id,category,question,expected_calls,selected_calls,tool_selection_correct,citation_valid,fallback_triggered,fallback_reason,passed,error
hist-network-ranking,historical network,Which subway route had the highest long-gap rate in the recent data?,network_reliability({}),network_reliability({}),True,True,False,,True,
hist-red,historical line,How has the Red Line been running recently?,"network_reliability({""line"": ""Red""})","network_reliability({""line"": ""Red""})",True,True,False,,True,
hist-green,historical line,Which Green Line branch had the most uneven train spacing?,"network_reliability({""line"": ""Green""})","network_reliability({""line"": ""Green""})",True,True,False,,True,
hist-blue,historical line,Summarize recent headway reliability on the Blue Line.,"network_reliability({""line"": ""Blue""})","network_reliability({""line"": ""Blue""})",True,True,False,,True,
live-orange,live line,What is happening on the Orange Line right now?,"live_line_status({""line"": ""Orange""})","live_line_status({""line"": ""Orange""})",True,True,False,,True,
live-blue,live line,"Show me the current Blue Line vehicles, notices, and prediction gaps.","live_line_status({""line"": ""Blue""})","live_line_status({""line"": ""Blue""})",True,True,False,,True,
live-network,live network,Are there any subway service notices right now?,live_line_status({}),live_line_status({}),True,True,False,,True,
station-harvard,historical station,How were realized headways at Harvard on the Red Line?,"station_headways({""station"": ""Harvard"", ""line"": ""Red""})","station_headways({""station"": ""Harvard"", ""line"": ""Red""})",True,True,False,,True,
station-kendall,historical station,Summarize recent train spacing at Kendall/MIT on the Red Line.,"station_headways({""station"": ""Kendall/MIT"", ""line"": ""Red""})","station_headways({""station"": ""Kendall/MIT"", ""line"": ""Red""})",True,True,False,,True,
station-state,historical station,Were there many long gaps at State on the Orange Line?,"station_headways({""station"": ""State"", ""line"": ""Orange""})","station_headways({""station"": ""State"", ""line"": ""Orange""})",True,True,False,,True,
define-gap,methodology,How does T-Analyst decide that a gap is unusually long?,metric_definition({}),"metric_definition({""metric"": ""unusually long gap""})",True,True,False,,True,
define-prediction,methodology,What is the difference between a prediction gap and a realized headway?,metric_definition({}),metric_definition({}),True,True,False,,True,
compare-orange,multi-tool,Compare current Orange Line conditions with its recent reliability.,"live_line_status({""line"": ""Orange""}); network_reliability({""line"": ""Orange""})","live_line_status({""line"": ""Orange""}); network_reliability({""line"": ""Orange""})",True,True,False,,True,
zh-live-red,multilingual,红线现在运行情况怎么样？有没有服务通知？,"live_line_status({""line"": ""Red""})","live_line_status({""line"": ""Red""})",True,True,False,,True,
zh-method,multilingual,系统是怎么算 long gap 和 bunching 的？,metric_definition({}),metric_definition({}),True,True,False,,True,
